"section","source_path","target_path","status","note"
"source_docs","D:\Users\Lenovo\Downloads\论文准备.md","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\00_source_docs\论文准备.md","copied","用户上传的论文准备材料"
"source_docs","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\project_audit_20260426\full_research_report.md","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\00_source_docs\full_research_report.md","copied","全量遍历审计研究报告"
"source_docs","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\project_audit_20260426\scan_summary.json","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\00_source_docs\scan_summary.json","copied","项目遍历统计"
"source_docs","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\project_audit_20260426\dataset_classroom_yolo_summary.json","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\00_source_docs\dataset_classroom_yolo_summary.json","copied","数据集类别与划分统计"
"figures_detection","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\results.png","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\01_figures_detection\e150_results.png","copied","训练损失与mAP曲线"
"figures_detection","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\confusion_matrix.png","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\01_figures_detection\e150_confusion_matrix.png","copied","混淆矩阵"
"figures_detection","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\confusion_matrix_normalized.png","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\01_figures_detection\e150_confusion_matrix_normalized.png","copied","归一化混淆矩阵"
"figures_detection","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\BoxPR_curve.png","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\01_figures_detection\e150_BoxPR_curve.png","copied","PR曲线"
"figures_detection","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\BoxF1_curve.png","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\01_figures_detection\e150_BoxF1_curve.png","copied","F1置信度曲线"
"figures_detection","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\BoxP_curve.png","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\01_figures_detection\e150_BoxP_curve.png","copied","Precision曲线"
"figures_detection","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\BoxR_curve.png","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\01_figures_detection\e150_BoxR_curve.png","copied","Recall曲线"
"figures_detection","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\labels.jpg","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\01_figures_detection\e150_labels.jpg","copied","标签分布图"
"figures_detection","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\val_batch0_pred.jpg","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\01_figures_detection\e150_val_batch0_pred.jpg","copied","验证集预测示例0"
"figures_detection","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\val_batch1_pred.jpg","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\01_figures_detection\e150_val_batch1_pred.jpg","copied","验证集预测示例1"
"figures_detection","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\val_batch2_pred.jpg","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\01_figures_detection\e150_val_batch2_pred.jpg","copied","验证集预测示例2"
"figures_detection","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\train_batch0.jpg","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\01_figures_detection\e150_train_batch0.jpg","copied","训练样例"
"figures_pipeline","F:\PythonProject\pythonProject\YOLOv11\output\codex_reports\run_full_paper_mainline_001\full_integration_001\timeline_chart.png","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\02_figures_pipeline\mainline_timeline_chart.png","copied","学生行为时间线"
"figures_pipeline","F:\PythonProject\pythonProject\YOLOv11\output\codex_reports\run_full_paper_mainline_001\full_integration_001\verifier_reliability_diagram.svg","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\02_figures_pipeline\mainline_verifier_reliability_diagram.svg","copied","验证器可靠性图"
"figures_pipeline","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_e150_001\e150_timeline_chart.png","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\02_figures_pipeline\e150_timeline_chart_legacy.png","copied","e150旧版timeline"
"figures_pipeline","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_e150_001\e150_verifier_reliability_diagram.svg","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\02_figures_pipeline\e150_verifier_reliability_diagram_legacy.svg","copied","e150旧版可靠性图"
"metrics_tables","F:\PythonProject\pythonProject\YOLOv11\runs\detect\official_yolo11s_detect_e150_v1\results.csv","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\03_metrics_tables\e150_results.csv","copied","训练epoch指标明细"
"metrics_tables","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_e150_001\e150_effect_summary.md","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\03_metrics_tables\e150_effect_summary.md","copied","e150检测与链路效果摘要"
"metrics_tables","F:\PythonProject\pythonProject\YOLOv11\official_yolo_finetune_compare\reports\run_comparison.md","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\03_metrics_tables\run_comparison.md","copied","训练运行对比"
"metrics_tables","F:\PythonProject\pythonProject\YOLOv11\official_yolo_finetune_compare\reports\run_comparison.json","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\03_metrics_tables\run_comparison.json","copied","训练运行对比JSON"
"metrics_tables","F:\PythonProject\pythonProject\YOLOv11\official_yolo_finetune_compare\reports\current_assessment.md","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\03_metrics_tables\current_assessment.md","copied","当前模型评估说明"
"metrics_tables","F:\PythonProject\pythonProject\YOLOv11\output\codex_reports\run_full_paper_mainline_001\full_integration_001\pipeline_contract_v2_report.json","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\03_metrics_tables\pipeline_contract_v2_report.json","copied","主线全链路contract报告"
"metrics_tables","F:\PythonProject\pythonProject\YOLOv11\output\codex_reports\run_full_paper_mainline_001\full_integration_001\fusion_contract_report.json","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\03_metrics_tables\fusion_contract_report.json","copied","fusion v2协议报告"
"metrics_tables","F:\PythonProject\pythonProject\YOLOv11\output\codex_reports\run_full_paper_mainline_001\full_integration_001\asr_quality_report.json","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\03_metrics_tables\asr_quality_report.json","copied","ASR质量门控报告"
"metrics_tables","F:\PythonProject\pythonProject\YOLOv11\output\codex_reports\run_full_paper_mainline_001\full_integration_001\verifier_eval_report.json","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\03_metrics_tables\verifier_eval_report.json","copied","verifier评测报告"
"metrics_tables","F:\PythonProject\pythonProject\YOLOv11\output\codex_reports\run_full_paper_mainline_001\full_integration_001\verifier_calibration_report.json","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\03_metrics_tables\verifier_calibration_report.json","copied","verifier校准报告"
"metrics_tables","F:\PythonProject\pythonProject\YOLOv11\output\codex_reports\run_full_paper_mainline_001\full_integration_001\timeline_students.csv","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\03_metrics_tables\timeline_students.csv","copied","学生ID动作时间线表"
"metrics_tables","F:\PythonProject\pythonProject\YOLOv11\output\codex_reports\run_full_paper_mainline_001\full_integration_001\student_id_map.json","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\03_metrics_tables\student_id_map.json","copied","学生ID与track_id映射"
"metrics_tables","","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\03_metrics_tables\paper_pipeline_report.json","missing","不存在则跳过"
"metrics_tables","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_assets\run_full_paper_mainline_001\paper_pipeline_report.md","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\03_metrics_tables\paper_pipeline_report.md","copied","论文主线指标报告"
"demo_materials","F:\PythonProject\pythonProject\YOLOv11\output\codex_reports\run_full_paper_mainline_001\full_integration_001\timeline_chart.json","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\06_demo_materials\timeline_chart.json","copied","timeline可视化JSON"
"demo_materials","F:\PythonProject\pythonProject\YOLOv11\output\codex_reports\run_full_paper_mainline_001\full_integration_001\verified_events.jsonl","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\06_demo_materials\verified_events.jsonl","copied","验证事件"
"demo_materials","F:\PythonProject\pythonProject\YOLOv11\output\codex_reports\run_full_paper_mainline_001\full_integration_001\actions.fusion_v2.jsonl","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\06_demo_materials\actions.fusion_v2.jsonl","copied","融合动作序列"
"demo_materials","F:\PythonProject\pythonProject\YOLOv11\output\codex_reports\run_full_paper_mainline_001\full_integration_001\event_queries.fusion_v2.jsonl","F:\PythonProject\pythonProject\YOLOv11\codex_reports\smart_classroom_yolo_feasibility\paper_package_20260426\06_demo_materials\event_queries.fusion_v2.jsonl","copied","融合事件查询"
